Pop,DaystoTop,Valence,Highest_Charting_Position,Number_of_Times_Charted,HighestPos
0,13 days,0.631,96,4,1
0,35 days,0.804,68,6,1
0,62 days,0.518,15,7,0
0,91 days,0.489,39,6,1
0,129 days,0.842,110,10,1
0,140 days,0.29,5,21,0
0,154 days,0.341,158,1,1
0,167 days,0.654,73,11,1
0,213 days,0.707,40,25,1
0,217 days,0.273,18,18,0
0,217 days,0.584,6,26,0
0,222 days,0.766,108,4,1
0,224 days,0.545,111,1,1
0,224 days,0.799,133,1,1
0,224 days,0.838,3,33,0
0,224 days,0.949,65,4,1
0,224 days,0.961,59,4,1
0,224 days,0.971,149,1,1
0,266 days,0.716,2,31,0
0,308 days,0.132,12,21,0
0,329 days,0.263,56,7,1
0,342 days,0.522,14,32,0
0,403 days,0.578,189,1,1
0,465 days,0.542,56,21,1
0,469 days,0.744,70,14,1
0,476 days,0.4,32,3,1
0,488 days,0.663,191,2,1
0,497 days,0.468,76,3,1
0,497 days,0.679,2,83,0
0,500 days,0.421,14,37,0
0,511 days,0.597,192,1,1
0,520 days,0.784,13,14,0
0,539 days,0.16,101,22,1
0,546 days,0.281,74,22,1
0,553 days,0.194,42,60,1
0,553 days,0.245,128,1,1
0,557 days,0.433,80,4,1
0,560 days,0.12,148,6,1
0,560 days,0.205,91,10,1
0,560 days,0.284,167,4,1
0,560 days,0.562,13,83,0
0,574 days,0.55,56,5,1
0,584 days,0.896,86,9,1
0,587 days,0.656,105,7,1
0,588 days,0.243,10,69,0
1,21 days,0.546,121,8,1
1,56 days,0.58,183,1,1
1,2208 days,0.72,180,1,1
1,23126 days,0.341,157,1,1
1,23126 days,0.951,159,1,1
2,0 days,0.59,40,14,1
2,1 days,0.314,91,2,1
2,6 days,0.905,126,2,1
2,7 days,0.036,113,1,1
2,7 days,0.0546,62,1,1
2,7 days,0.0676,143,1,1
2,7 days,0.0903,75,1,1
2,7 days,0.113,180,2,2
2,7 days,0.153,166,1,1
2,7 days,0.158,198,1,1
2,7 days,0.184,77,1,1
2,7 days,0.207,177,1,1
2,7 days,0.21,106,1,1
2,7 days,0.228,139,1,1
2,7 days,0.236,57,1,1
2,7 days,0.246,160,1,1
2,7 days,0.267,152,1,1
2,7 days,0.276,60,1,1
2,7 days,0.279,141,1,1
2,7 days,0.295,193,1,1
2,7 days,0.303,52,2,1
2,7 days,0.306,73,1,1
2,7 days,0.31,166,1,1
2,7 days,0.313,92,1,1
2,7 days,0.314,188,1,1
2,7 days,0.317,115,1,1
2,7 days,0.321,70,2,1
2,7 days,0.323,74,1,1
2,7 days,0.328,111,1,1
2,7 days,0.332,129,1,1
2,7 days,0.34,158,1,1
2,7 days,0.342,139,1,1
2,7 days,0.343,159,1,1
2,7 days,0.35,149,1,1
2,7 days,0.354,139,2,1
2,7 days,0.356,83,1,1
2,7 days,0.364,131,1,1
2,7 days,0.374,70,1,1
2,7 days,0.38,87,1,1
2,7 days,0.388,106,1,1
2,7 days,0.392,161,1,1
2,7 days,0.42,183,1,1
2,7 days,0.422,80,1,1
