Tempo,DaystoTop,Valence1,Highest_Charting_Position,Number_of_Times_Charted,Release_Date,Song_Name,Popularity,Song_ID,Genre,Acousticness,Valence,Chord,EndHighWeek,HighestPos
46.718,11316 days,3,1,1,1,1,1,1,1,1,1,1,1,1
62.948,121 days,3,1,1,1,1,1,1,1,1,1,1,1,1
64.062,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
64.934,763 days,2,1,1,1,1,1,1,1,1,1,1,1,1
65.375,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
65.988,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
66.424,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
66.932,147 days,0,1,1,1,1,1,1,1,1,1,1,1,1
67.003,154 days,1,1,1,1,1,1,1,1,1,1,1,1,1
67.196,20521 days,3,1,1,1,1,1,1,1,1,1,1,1,1
68.985,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
69.877,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
70.056,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
71.446,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
71.696,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
71.724,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
71.884,764 days,1,1,1,1,1,1,1,1,1,1,1,1,1
71.994,3169 days,1,1,1,1,1,1,1,1,1,1,1,1,1
72.541,126 days,1,1,1,1,1,1,1,1,1,1,1,1,1
72.795,3066 days,1,1,1,1,1,1,1,1,1,1,1,1,1
73.537,8 days,0,1,1,1,1,1,1,1,1,1,1,1,1
73.779,35 days,2,1,1,1,1,1,1,1,1,1,1,1,1
73.877,191 days,2,1,1,1,1,1,1,1,1,1,1,1,1
74.017,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
74.545,7 days,3,1,1,1,1,1,1,1,1,1,1,1,1
74.861,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
74.897,2742 days,0,1,1,1,1,1,1,1,1,1,1,1,1
74.952,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
74.962,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
74.988,392 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.012,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.014,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.023,840 days,1,1,1,1,1,1,1,1,1,1,1,1,1
75.025,191 days,3,1,1,1,1,1,1,1,1,1,1,1,1
75.051,62 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.055,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.059,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
75.217,77 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.245,14 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.248,2212 days,1,1,1,1,1,1,1,1,1,1,1,1,1
75.445,315 days,3,1,1,1,1,1,1,1,1,1,1,1,1
75.491,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
75.602,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.801,190 days,2,1,1,1,1,1,1,1,1,1,1,1,1
75.824,7 days,0,2,2,2,2,2,2,2,2,2,2,2,2
75.857,10 days,0,1,1,1,1,1,1,1,1,1,1,1,1
75.978,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
76.007,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
76.017,9 days,2,1,1,1,1,1,1,1,1,1,1,1,1
76.469,210 days,0,1,1,1,1,1,1,1,1,1,1,1,1
76.899,2814 days,2,1,1,1,1,1,1,1,1,1,1,1,1
76.968,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
76.993,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
76.997,11 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.005,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.014,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.052,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
77.169,553 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.249,12 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.253,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.271,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.341,574 days,2,1,1,1,1,1,1,1,1,1,1,1,1
77.355,1547 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.594,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.599,422 days,0,1,1,1,1,1,1,1,1,1,1,1,1
77.888,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
77.981,9 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.082,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.111,11799 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.4,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.43,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.452,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
78.496,21 days,3,1,1,1,1,1,1,1,1,1,1,1,1
78.616,455 days,2,1,1,1,1,1,1,1,1,1,1,1,1
78.696,21543 days,0,1,1,1,1,1,1,1,1,1,1,1,1
78.953,5883 days,2,1,1,1,1,1,1,1,1,1,1,1,1
78.958,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
78.998,2316 days,2,1,1,1,1,1,1,1,1,1,1,1,1
79.015,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
79.635,266 days,1,1,1,1,1,1,1,1,1,1,1,1,1
79.859,28 days,0,1,1,1,1,1,1,1,1,1,1,1,1
79.903,6 days,0,1,1,1,1,1,1,1,1,1,1,1,1
79.936,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
79.968,5 days,1,1,1,1,1,1,1,1,1,1,1,1,1
79.976,105 days,3,1,1,1,1,1,1,1,1,1,1,1,1
79.98,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.002,134 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.015,28 days,3,1,1,1,1,1,1,1,1,1,1,1,1
80.018,56 days,3,1,1,1,1,1,1,1,1,1,1,1,1
80.025,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
80.353,6 days,2,1,1,1,1,1,1,1,1,1,1,1,1
80.462,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
