Pop,DaystoTop,Valence5,Highest_Charting_Position,Number_of_Times_Charted,Release_Date,Song_Name,Song_ID,Genre,Acousticness,Tempo,Valence,Chord,EndHighWeek,HighestPos,Valence1,Valence2,Valence3,Valence4
0,13 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,35 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,62 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,91 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,129 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,140 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,154 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,167 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,213 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,217 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,217 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,222 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,224 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,224 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,224 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,224 days,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,266 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,308 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,329 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,342 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,403 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,465 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,469 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,476 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,488 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,497 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,497 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,500 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,511 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,520 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,539 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,546 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,553 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,553 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,557 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,560 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,560 days,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,560 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,574 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,584 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,587 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,588 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,21 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,56 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2208 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,23126 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,23126 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,6 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7 days,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,7 days,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,7 days,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2,7 days,3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2,7 days,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
2,7 days,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2,7 days,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
2,7 days,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2,7 days,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2,7 days,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,8 days,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,8 days,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,8 days,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,8 days,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,8 days,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,8 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,9 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,9 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,11 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,11 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,12 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,14 days,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,18 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,20 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,21 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,21 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,21 days,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,34 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,35 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,49 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,56 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,56 days,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,63 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,70 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,71 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,91 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,98 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,100 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,105 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,111 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,112 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,210 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,298 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,385 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,413 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,771 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,785 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1115 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1176 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1470 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1519 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2177 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2212 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2268 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2580 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2614 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2968 days,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2968 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3646 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3678 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3734 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,5472 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,6203 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,6667 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,6933 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7346 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7798 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,8092 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,9544 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,9855 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,10623 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,11224 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,11316 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,11799 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,13569 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,14603 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,14812 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,14833 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,17248 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,18334 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,20447 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,20521 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,20851 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,21178 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,21178 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,21543 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,22639 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
